Company,AltName,SampleSet,NewsID,City,State,Circ,whiteCensus,blackCensus,hispanicCensus,asianCensus,femaleCensus,femaleDiff,female2001,female2018,radius,femaleLeaders2018,latitude,longitude,hasLocation
USA Today,USA Today,TRUE,1865,mclean,va,A,0.613,0.133,0.178,0.057,,0.006840796,0.368159204,0.375,15.09565217,0.442622951,37.219841,-76.003952,TRUE
Sun-Sentinel,Sun-Sentinel,TRUE,104,fort lauderdale,fl,B,0.3137,0.2224,0.4443,0.0258,,-0.012066053,0.395904437,0.383838384,6.573913043,0.47826087,26.122438,-80.137321,TRUE
austin american-statesman,Austin American-Statesman,TRUE,422,austin,tx,C,0.487,0.074,0.345,0.067,0.495,-0.016096913,0.413043478,0.396946565,7.686956522,0.32,30.267153,-97.743057,TRUE
the detroit news,The Detroit News,TRUE,226,detroit,mi,B,0.091,0.798,0.077,0.013,0.52,-0.037083333,0.36,0.322916667,6.469565217,0.269230769,42.262592,-71.802292,TRUE
omaha world-herald,Omaha World-Herald,TRUE,271,omaha,ne,C,0.676,0.127,0.137,0.03,0.508,-0.051241057,0.421319797,0.37007874,7.547826087,0.611111111,41.252365,-95.997993,TRUE
hartford courant,,FALSE,76,hartford,ct,C,0.154,0.352,0.442,0.026,0.514,-0.051470588,0.375,0.323529412,5.495652174,0.368421053,41.763714,-72.685097,TRUE
the charlotte observer,,FALSE,306,charlotte,nc,C,0.435,0.344,0.135,0.057,0.52,-0.059877956,0.385964912,0.326086957,4.730434783,0.363636364,35.227089,-80.843132,TRUE
the free lance-star,,FALSE,451,fredericksburg,va,E,0.598,0.222,0.111,0.025,0.533,-0.066997519,0.451612903,0.384615385,4.034782609,0.428571429,38.303185,-77.460541,TRUE
florida today,,FALSE,673,melbourne,fl,D,0.5777,0.1358,0.2186,0.034,,-0.069852941,0.382352941,0.3125,4.243478261,0.333333333,28.083626,-80.608109,TRUE
fort worth star-telegram,,FALSE,431,fort worth,tx,C,0.407,0.186,0.343,0.038,0.514,-0.074656679,0.355555556,0.280898876,6.226086957,0.318181818,32.755489,-97.330765,TRUE
las vegas sun,,FALSE,1171,henderson,nv,E,0.68,0.054,0.153,0.073,0.515,-0.076838032,0.373134328,0.296296296,4.069565217,0.230769231,36.169941,-115.139824,TRUE
york daily record,,FALSE,1536,york,pa,E,0.84,0.067,0.072,0.015,0.506,-0.086363636,0.386363636,0.3,4.173913043,0.428571429,39.962597,-76.727745,TRUE
lexington herald-leader,,FALSE,181,lexington,ky,C,0.724,0.143,0.069,0.035,0.509,-0.086700337,0.401515152,0.314814815,5.008695652,0.3,38.040581,-84.503716,TRUE
asbury park press,,FALSE,1180,neptune,nj,C,0.7982,0.0755,0.0997,0.0385,,-0.104912281,0.473333333,0.368421053,5.113043478,0.533333333,40.2091,-74.0386,TRUE
the news & observer,,FALSE,315,raleigh,nc,C,0.533,0.288,0.111,0.044,0.518,-0.107816712,0.428571429,0.320754717,4.973913043,0.5,35.779591,-78.638176,TRUE
miami herald,the miami herald,FALSE,99,miami,fl,B,0.114,0.164,0.707,0.008,0.505,-0.115013774,0.41046832,0.295454545,6.191304348,0.409090909,25.761681,-80.191788,TRUE
journal star,,FALSE,140,peoria,il,D,0.584,0.262,0.056,0.054,0.525,-0.125315391,0.344827586,0.219512195,4.556521739,0.4,40.693649,-89.588989,TRUE
pensacola news journal,,FALSE,1769,pensacola,fl,D,0.619,0.272,0.037,0.02,0.518,-0.141666667,0.375,0.233333333,4.173913043,0.375,30.421309,-87.216919,TRUE
